role,artifact,status,experiment2_use
project_specification,Project_Montecito_Project_Specifications_v0.4.md,FROZEN,Defines Experiment 2 mathematical design; do not retroactively rewrite from Experiment 1 results.
primary_zeta_point_set,zeta_unfolded_points.csv,FROZEN_PRIMARY,Primary X_zeta input for the originally specified Experiment 2.
primary_zeta_pair_correlation,zeta_pair_correlation.csv,FROZEN_PRIMARY,Level-1 baseline to propagate before interpreting Level-2 inertia differences.
authoritative_gue_calibration,gue_matched_monte_carlo_200.csv,FROZEN_CONTROL,Authoritative synthetic GUE calibration; preliminary n=256 control is not inferential.
high_height_zeta_control,near_1e12_unfolded_points.csv,SECONDARY_CONTROL,Control for GUE-like zeta at high height; do not silently replace primary X_zeta.
high_height_zeta_control,near_1e21_unfolded_points.csv,SECONDARY_CONTROL_WITH_SOURCE_CAVEAT,Secondary high-height control; preserve Odlyzko not-guaranteed accuracy caveat.
migration_policy,Experiment1_to_Experiment2_Migration_Manifest_v4.md,AUTHORITATIVE,Governs interpretation and dual-reference policy.
low_height_level1_distortion,D0.5,KNOWN_FINITE_HEIGHT_EFFECT,First-10k D0.5 ~0.224; must be propagated before higher-order claims.
integrated_mass_constraint,S30,KNOWN_LEVEL1_CONSTRAINT,Correlation-hole mass approximately conserved despite local shape redistribution.
raw_zeros1_exact_byte_lock,zeros1.txt + zeros1_SHA256.txt,CLOSED,Official raw-source provenance closed; no computational change to frozen primary point set.
